	merge_cluster																															
name	stop	start	size	location	ne241STAT-37-a	ne241STAT-37-b	ne241STAT-37-c	ne241EXPO-a	ne241EXPO-b	ne241EXPO-c	ne241-37-a	ne241-37-b	ne241-37-c	ne241Fluco-a	ne241Fluco-b	ne241Fluco-c	ne241GAL-a	ne241GAL-b	ne241GAL-c	ne241SDS-a	ne241SDS-b	ne241SDS-c	ne241STAT-a	ne241STAT-b	ne241STAT-c	ne241RPMI-a	ne241RPMI-b	ne241RPMI-c	ne241RPMI_Macro-a	ne241RPMI_Macro-b	ne241RPMI_Macro-c	
CNAG_00003_1	14026	14026	1	utr3E	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00003_2	14031	14031	1	utr3E	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00004_1	16427	16427	1	utr3E	3.00	1.00	2.00	4.00	5.00	7.00	0	0	0	0	0	0	1.00	4.00	5.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00004_2	16635	16637	3	utr3E	0	0	0	1.00	23.00	2.00	6.00	2.00	2.00	2.00	7.00	8.00	0	0	0	0	0	0	8.00	9.00	6.00	0	0	0	0	0	0	
CNAG_00004_3	16637	16637	1	utr3E	0	0	0	1.00	23.00	2.00	6.00	2.00	2.00	2.00	7.00	8.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00004_4	16692	16692	1	utr3I	1.00	1.00	5.00	0	0	0	0	0	0	0	0	0	2.00	3.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00004_5	19655	19655	1	utr5I	0	0	0	3.00	6.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00005_1	20750	20760	11	utr3E	12.00	11.00	11.00	82.00	129.00	92.00	68.00	29.00	39.00	31.00	32.00	40.00	0	0	0	20.00	21.00	53.00	0	0	0	0	0	0	14.00	18.00	15.00	
CNAG_00006_1	24710	24741	32	utr3E	186.00	142.00	109.00	156.00	249.00	136.00	108.00	28.00	71.00	48.00	59.00	90.00	26.00	24.00	13.00	34.00	30.00	93.00	23.00	28.00	24.00	45.00	41.00	61.00	30.00	101.00	50.00	
